USEmbassyTirana,USEmbassyTirana,USEmbassyTirana,twitter.com/USEmbassyTirana,,,,
USEmbassyKabul,USEmbassyKabul,U.S. Embassy Kabul,twitter.com/USEmbassyKabul,Kabul,Afghanistan,sca,embassy
USAIDAfghan,USAIDAfghan,USAID Afghanistan,twitter.com/USAIDAfghan,Kabul,Afghanistan,sca,usaid-mission
USEmbAlgiers,USEmbAlgiers,US Embassy Algiers,twitter.com/USEmbAlgiers,Algiers,Algeria,nea,embassy
ElizabethAubin,ElizabethAubin,Elizabeth Aubin,twitter.com/ElizabethAubin,Algiers,Algeria,nea,personal
USAIDAngola,USAIDAngola,USAID Angola,twitter.com/USAIDAngola,Luanda,Angola,af,usaid-mission
EmbajadaEEUUarg,EmbajadaEEUUarg,US Embassy Buenos Aires,twitter.com/EmbajadaEEUUarg,Buenos Aires,Argentina,wha,embassy
usembarmenia,usembarmenia,US Embassy Yerevan,twitter.com/usembarmenia,Yerevan,Armenia,eur,embassy
AmbHeffern,AmbHeffern,Ambassador Heffern,twitter.com/AmbHeffern,Yerevan,Armenia,eur,personal
USAIDArmenia,USAIDArmenia,USAID Armenia,twitter.com/USAIDArmenia,Yerevan,Armenia,eur,usaid-mission
USAembassyinOZ,USAembassyinOZ,US Embassy Canberra,twitter.com/USAembassyinOZ,Canberra,Australia,eap,embassy
USConGenSydney,USConGenSydney,US Consulate Sydney,twitter.com/USConGenSydney,Sydney,Australia,eap,consulate
uscongenperth,uscongenperth,U.S. Consulate Perth,twitter.com/uscongenperth,Perth,Australia,eap,consulate
usconsulatemelb,usconsulatemelb,US Consulate Melbourne,twitter.com/usconsulatemelb,Melbourne,Australia,eap,consulate
usembvienna,usembvienna,US Embassy Vienna,twitter.com/usembvienna,Vienna,Austria,eur,embassy
usunvie,usunvie,US Mission Vienna,twitter.com/usunvie,Vienna,Austria,io,mission
usosce,usosce,US Mission to the OSCE,twitter.com/usosce,Vienna,Austria,eur,mission
AlexaWesner,AlexaWesner,Alexa Wesner,twitter.com/AlexaWesner,Vienna,Austria,eur,personal
danbbaer,danbbaer,Daniel Baer,twitter.com/danbbaer,Vienna,Austria,io,mission
USEmbassyBaku,USEmbassyBaku,USEmbassyBaku,twitter.com/USEmbassyBaku,Baku,Azerbaijan,eur,embassy
USEmbassyBah,USEmbassyBah,U.S. Embassy Bahrain,twitter.com/USEmbassyBah,Manama,Bahrain,nea,embassy
USAIDBangladesh,USAIDBangladesh,USAID Bangladesh,twitter.com/USAIDBangladesh,Dhaka,Bangladesh,sca,usaid-mission
USEmbassyBbdos,USEmbassyBbdos,US Embassy Bridgetown,twitter.com/USEmbassyBbdos,Bridgetown,Barbados,wha,embassy
USAIDBarbados,USAIDBarbados,USAID Barbados ,twitter.com/USAIDBarbados,Bridgetown,Barbados,wha,usaid-mission
AmbPalmer,AmbPalmer,Larry Palmer,twitter.com/AmbPalmer,Bridgetown,Barbados,wha,personal
usembbrussels,usembbrussels,US Embassy Brussels,twitter.com/usembbrussels,Brussels,Belgium,eur,embassy
USAandEurope,USAandEurope,US-EuropeanMediaHub,twitter.com/USAandEurope,Brussels,Belgium,eur,foreign-other
USAmbEU,USAmbEU,Ambassador to the EU William Kennard,twitter.com/USAmbEU,Brussels,Belgium,eur,personal
US2EU,US2EU,US Mission to the EU,twitter.com/US2EU,Brussels,Belgium,eur,mission
USAmbNATO,USAmbNATO,Douglas Lute,twitter.com/USAmbNATO,Brussels,Belgium,io,personal
USNATO,USNATO,US Mission to NATO,twitter.com/USNATO,Brussels,Belgium,io,mission
USEmbassyBenin,USEmbassyBenin,U.S. Embassy Benin,twitter.com/USEmbassyBenin,Cotonou,Benin,af,embassy
EmbEUAenBolivia,EmbEUAenBolivia,Embajada EUA Bolivia,twitter.com/EmbEUAenBolivia,La Paz,Bolivia,wha,embassy
USAIDBolivia,USAIDBolivia,USAID Bolivia,twitter.com/USAIDBolivia,La Paz,Bolivia,wha,usaid-mission
USEmbassySJJ,USEmbassySJJ,US Embassy Sarajevo,twitter.com/USEmbassySJJ,Sarajevo,Bosnia and Herzegovina,eur,embassy
EmbaixadaEUA,EmbaixadaEUA,US Embassy Brasilia,twitter.com/EmbaixadaEUA,Brasilia,Brazil,wha,embassy
jovensemb,jovensemb,Jovens Embaixadores,twitter.com/jovensemb,Brasilia,Brazil,wha,foreign-other
ircbrasil,ircbrasil,IRC Brazil,twitter.com/ircbrasil,Brasilia,Brazil,wha,irc
USCitsBrazil,USCitsBrazil,US Citizens Brazil,twitter.com/USCitsBrazil,Brasilia,Brazil,wha,embassy
USEmbassyBurma,USEmbassyBurma,U.S. Embassy Burma,twitter.com/USEmbassyBurma,Rangoon,Burma,eap,embassy
USEmbPhnomPenh,USEmbPhnomPenh,US Embassy Cambodia,twitter.com/USEmbPhnomPenh,Phnom Penh,Cambodia,eap,embassy
USEmbCameroon,USEmbCameroon,US Embassy Yaounde,twitter.com/USEmbCameroon,Yaounde,Cameroon,af,embassy
USEmbYaounde,USEmbYaounde,U.S. Embassy Yaounde,twitter.com/USEmbYaounde,Yaounde,Cameroon,af,embassy
usembassyottawa,usembassyottawa,US Embassy Ottawa,twitter.com/usembassyottawa,Ottawa,Canada,wha,embassy
usconshalifax,usconshalifax,US Consulate Halifax,twitter.com/usconshalifax,Halifax,Canada,wha,consulate
USEmbassyPraia,USEmbassyPraia,U.S. Embassy Praia,twitter.com/USEmbassyPraia,Praia,Cape Verde,af,embassy
EmbajadaEEUUcl,EmbajadaEEUUcl,US Embassy Santiago,twitter.com/EmbajadaEEUUcl,Santiago,Chile,wha,embassy
BeijingAir,BeijingAir,Beijing Air,twitter.com/BeijingAir,Beijing,China,eap,foreign-other
USA_China_Talk,USConsulateGZ,US Consulate Guangzhou,twitter.com/USA_China_Talk,Guangzhou,China,eap,consulate
RichardBuangan,RichardBuangan,Press Spokesman Richard Buangan,twitter.com/RichardBuangan,Beijing,China,eap,personal
USAinHKMacau,USAinHKMacau,U.S. CG HK and Macau,twitter.com/USAinHKMacau,Hong Kong,China,eap,consulate
USA_Zhongwen,USA_Zhongwen,USA in Zhongwen,twitter.com/USA_Zhongwen,Zhongwen,China,pa,consulate
AmbLocke,AmbLocke,Amb Gary Locke,twitter.com/AmbLocke,Beijing,China,eap,personal
USAID_Colombia,USAID_Colombia,USAID/Colombia,twitter.com/USAID_Colombia,Bogota,Colombia,wha,usaid-mission
USEmbassyBogota,USEmbassyBogota,US Embassy Bogota,twitter.com/USEmbassyBogota,Bogota,Columbia,wha,embassy
usembassysjo,usembassysjo,US Embassy San Jose,twitter.com/usembassysjo,San Jose,Costa Rica,wha,embassy
usambassadorcr,usambassadorcr,Ambassador Anne Andrew,twitter.com/usambassadorcr,San Jose,Costa Rica,wha,personal
USINTHavana,USINTHavana,US Interests Section Havana,twitter.com/USINTHavana,Havana,Cuba,wha,foreign-other
USAenCUBA,USAenCUBA,USAenCUBA,twitter.com/USAenCUBA,Havana,Cuba,wha,foreign-other
USEmbassyCyprus,USEmbassyCyprus,U.S. Embassy Nicosia,twitter.com/USEmbassyCyprus,Nicosia,Cyprus,eur,embassy
USEmbassyPrague,USEmbassyPrague,US Embassy Prague,twitter.com/USEmbassyPrague,Prague,Czech Republic,eur,embassy
USEmbKinshasa,USEmbKinshasa,US Embassy Kinshasa,twitter.com/USEmbKinshasa,Kinshasa,Democratic Republic of Congo,af,embassy
usembdenmark,usembdenmark,US Embassy Copenhagen,twitter.com/usembdenmark,Copenhagen,Denmark,eur,embassy
rufusgifford,rufusgifford,Rufus Gifford,twitter.com/rufusgifford,Copenhagen,Denmark,eur,personal
US_Emb_Djibouti,US_Emb_Djibouti,US Embassy Djibouti,twitter.com/US_Emb_Djibouti,Djibouti,Djibouti,af,embassy
EmbajadaUSAenRD,EmbajadaUSAenRD,EmbajadaUSAenRD,twitter.com/EmbajadaUSAenRD,Santo Domingo,Dominican Republic,wha,embassy
usembassy_quito,usembassy_quito,US Embassy Quito,twitter.com/usembassy_quito,Quito,Ecuador,wha,embassy
ConsEEUUGYE,ConsEEUUGYE,Consulado EEUU GYE,twitter.com/ConsEEUUGYE,Guayaquil,Ecuador,wha,consulate
USAIDEcuador,USAIDEcuador,USAID Ecuador,twitter.com/USAIDEcuador,Quito,Ecuador,wha,usaid-mission
usembassycairo,usembassycairo,US Embassy Cairo,twitter.com/usembassycairo,Cairo,Egypt,nea,embassy
USAIDEgypt,USAIDEgypt,USAID Egypt,twitter.com/USAIDEgypt,Cairo,Egypt,nea,usaid-mission
amb_mike,amb_mike,Michael C. Polt,twitter.com/amb_mike,Tallin,Estonia,eur,personal
USEmbTallinn,USEmbTallinn,US Embassy Tallinn,twitter.com/USEmbTallinn,Tallinn,Estonia,eur,embassy
amb_jeff,amb_jeff,Amb. Jeff Levine,twitter.com/amb_jeff,Tallinn,Estonia,eur,personal
USAIDEthiopia,USAIDEthiopia,USAID Ethiopia,twitter.com/USAIDEthiopia,Addis Ababa,Ethiopia,af,usaid-mission
USEmbassyKoloni,USEmbassyKoloni,US Embassy Kolonia,twitter.com/USEmbassyKoloni,"Kolonia, Pohnpei",Federated States of Micronesia,eap,embassy
ARCHelsinki,ARCHelsinki,Amerikka Kirjasto,twitter.com/ARCHelsinki,Helsiki,Finland,eur,irc
usembfinland,usembfinland,U.S. Embassy Finland,twitter.com/usembfinland,Helsinki,Finland,eur,embassy
helsinkiamb,helsinkiamb,Bruce Oreck,twitter.com/helsinkiamb,Helsinki,Finland,eur,personal
USEmbassyFrance,USEmbassyFrance,US Embassy Paris,twitter.com/USEmbassyFrance,Paris,France,eur,embassy
ARSParis,ARSParis,ARS Paris,twitter.com/ARSParis,Paris,France,af,foreign-other
AmbRivkin,AmbRivkin,Charles H. Rivkin,twitter.com/AmbRivkin,Paris,France,eur,embassy
usembassygabon,usembassygabon,US Embassy Libreville,twitter.com/usembassygabon,Libreville,Gabon,af,embassy
USAIDGeorgia,USAIDGeorgia,USAID Georgia,twitter.com/USAIDGeorgia,Tbilisi,Georgia,eur,usaid-mission
usbotschaft,usbotschaft,US Embassy Berlin,twitter.com/usbotschaft,Berlin,Germany,eur,embassy
usconsfrankfurt,usconsfrankfurt,US Consulate Frankfurt,twitter.com/usconsfrankfurt,Frankfurt,Germany,eur,consulate
usconshamburg,usconshamburg,US Consulate Hamburg,twitter.com/usconshamburg,Hamburg,Germany,eur,consulate
USConsLeipzig,USConsLeipzig,US Consulate Leipzig,twitter.com/USConsLeipzig,Leipzig,Germany,eur,consulate
usconsmunich,usconsmunich,US Consulate Munich,twitter.com/usconsmunich,Munich,Germany,eur,consulate
USConGenNRW,USConGenNRW,US Consulate General Duesseldorf,twitter.com/USConGenNRW,Duesseldorf,Germany,eur,consulate
conradtribble,conradtribble,Conrad Tribble,twitter.com/conradtribble,Munich,Germany,eur,personal
USEmbassyGhana,USEmbassyGhana,US Embassy Ghana,twitter.com/USEmbassyGhana,Accra,Ghana,af,embassy
USEmbassyAthens,USEmbassyAthens,George Vorvolakos,twitter.com/USEmbassyAthens,Athens,Greece,eur,embassy
usembassyguate,usembassyguate,US Embassy Guatemala City,twitter.com/usembassyguate,Guatemala City,Guatemala,wha,embassy
USAIDGuate,USAIDGuate,USAID Guatemala,twitter.com/USAIDGuate,Guatemala City,Guatemala,wha,usaid-mission
EmbassyConakry,EmbassyConakry,US Embassy Conakry,twitter.com/EmbassyConakry,Conakry,Guinea,af,embassy
USAIDGuinea,USAIDGuinea,USAID Guinea,twitter.com/USAIDGuinea,Conakry,Guinea,af,usaid-mission
visageorge,visageorge,US Embassy Georgetown,twitter.com/visageorge,Georgetown,Guyana,wha,embassy
USEmbassyHaiti,USEmbassyHaiti,US Embassy Port-au-Prince,twitter.com/USEmbassyHaiti,Port-au-Prince,Haiti,wha,embassy
USAID_Haiti,USAID_Haiti,USAID Haiti,twitter.com/USAID_Haiti,Port au Prince,Haiti,wha,usaid-mission
AmbPWhite,AmbPWhite,Pamela White,twitter.com/AmbPWhite,Port au Prince,Haiti,wha,personal
usembassyteg,usembassyteg,US Embassy Tegucigalpa,twitter.com/usembassyteg,Tegucigalpa,Honduras,wha,embassy
USAmbHonduras,USAmbHonduras,Ambassador Kubiske,twitter.com/USAmbHonduras,Tegucigalpa,Honduras,wha,personal
CSHongKong,CSHongKong,US Consulate Hong Kong,twitter.com/CSHongKong,Hong Kong,Hong Kong,eap,consulate
usembbudapest,usembbudapest,US Embassy Budapest,twitter.com/usembbudapest,Budapest,Hungary,eur,embassy
usembreykjavik,usembreykjavik,U.S. Embassy Iceland,twitter.com/usembreykjavik,Reykjavik,Iceland,eur,embassy
AmCenterKolkata,AmCenterKolkata,AmCenter Kolkata,twitter.com/AmCenterKolkata,Kolkata,India,sca,american-corner
USAndKolkata,USAndKolkata,US Consulate Kolkata,twitter.com/USAndKolkata,Kolkata,India,sca,consulate
usaid_india,usaid_india,USAID India,twitter.com/usaid_india,New Delhi,India,sca,usaid-mission
USAndMumbai,USAndMumbai,U.S. Consulate Mumbai,twitter.com/USAndMumbai,Mumbai,India,sca,consulate
usembassyjkt,usembassyjkt,US Embassy Jakarta,twitter.com/usembassyjkt,Jakarta,Indonesia,eap,embassy
atamerica,atamerica,@america,twitter.com/atamerica,Jakarta,Indonesia,eap,bnc
usaidindonesia,usaidindonesia,USAID Indonesia,twitter.com/usaidindonesia,Jakarta,Indonesia,eap,usaid-mission
USConGenSby,USConGenSby,US Consulate General,twitter.com/USConGenSby,Surabaya,Indonesia,eap,consulate
USMission2ASEAN,USMission2ASEAN,U.S. Mission to ASEAN,twitter.com/USMission2ASEAN,Jakarta,Indonesia,eap,mission
USAIDIraq,USAIDIraq,USAID Iraq,twitter.com/USAIDIraq,Baghdad,Iraq,nea,usaid-mission
usembassydublin,usembassydublin,US Embassy Dublin,twitter.com/usembassydublin,Dublin,Ireland,eur,embassy
USAinNI,USAinNI,US Consulate Belfast,twitter.com/USAinNI,Belfast,Ireland,eur,embassy
usembassyta,usembassyta,US Embassy Tel Aviv,twitter.com/usembassyta,Tel Aviv,Israel,nea,embassy
USCGJerusalem,USCGJerusalem,US Consulate General Jerusalem,twitter.com/USCGJerusalem,Jerusalem,Israel,nea,consulate
AmbShapiro,AmbShapiro,Dan Shapiro,twitter.com/AmbShapiro,Tel Aviv,Israel,nea,personal
AmbasciataUSA,AmbasciataUSA,US Embassy Rome,twitter.com/AmbasciataUSA,Rome,Italy,eur,embassy
USUNRome,USUNRome,USUNRome ,twitter.com/USUNRome,Rome,Italy,io,mission
USAnelSud,USAnelSud,Consolato USA Napoli,twitter.com/USAnelSud,Naples,Italy,eur,consulate
USinHolySee,USinHolySee,U.S. in Holy See,twitter.com/USinHolySee,Rome,Italy,eur,mission
USConnect,USConnect,US Connect,twitter.com/USConnect,Tokyo,Japan,eap,foreign-other
AmbassadorRoos,AmbassadorRoos,Ambassador Roos,twitter.com/AmbassadorRoos,Tokyo,Japan,eap,personal
eAsiaMediaHub,eAsiaMediaHub,US EAP Media Hub ,twitter.com/eAsiaMediaHub,Tokyo,Japan,eap,foreign-other
USConnectKyushu,USConnectKyushu,Fukuoka American Center,twitter.com/USConnectKyushu,Fukuoka,Japan,eap,american-corner
Nagoya_AC,Nagoya_AC,名古屋アメリカンセンター,twitter.com/Nagoya_AC,Nagoya,Japan,eap,consulate
ConsulateNagoya,ConsulateNagoya,ハリーサリバン,twitter.com/ConsulateNagoya,Nagoya,Japan,eap,consulate
usembassytokyo,usembassytokyo,US Embassy Tokyo,twitter.com/usembassytokyo,Tokyo,Japan,eap,embassy
CarolineKennedy,CarolineKennedy,Caroline Kennedy,twitter.com/CarolineKennedy,Tokyo,Japan,sca,personal
USEmbassyJordan,USEmbassyJordan,US Embassy Amman,twitter.com/USEmbassyJordan,Amman,Jordan,nea,embassy
usembassyastana,usembassyastana,U.S. Embassy Astana,twitter.com/usembassyastana,Astana,Kazakhstan  ,sca,embassy
USCGAlmaty,USCGAlmaty,USCG Almaty,twitter.com/USCGAlmaty,Almaty,Kazakhstan,sca,embassy
USAIDCtrAsia,USAIDCtrAsia,USAID Central Asia,twitter.com/USAIDCtrAsia,Almaty,Kazakhstan,sca,usaid-mission
USEmbassyKenya,USEmbassyKenya,US Embassy Nairobi,twitter.com/USEmbassyKenya,Nairobi,Kenya,af,embassy
USAIDEastAfrica,USAIDEastAfrica,USAID East Africa,twitter.com/USAIDEastAfrica,Nairobi,Kenya,af,usaid-mission
USAIDKenya,USAIDKenya,USAID Kenya,twitter.com/USAIDKenya,Nairobi,Kenya,af,usaid-mission
USEmbassyJA,USEmbassyJA,US Embassy Jamaica,twitter.com/USEmbassyJA,Jamaica,Kingston,wha,embassy
AmbTracey,AmbTracey,Amb. Tracey Jacobson,twitter.com/AmbTracey,Pristina,Kosovo,eur,personal
ACPrizren,ACPrizren,American Corner Prizren,twitter.com/ACPrizren,Prizren,Kosovo,eur,american-corner
acpristina,acpristina,AMerican Corner Pristina,twitter.com/acpristina,Pristina,Kosovo,eur,american-corner
USEmbassyQ8,USEmbassyQ8,U.S. Embassy Kuwait,twitter.com/USEmbassyQ8,Kuwait City,Kuwait,nea,embassy
USEmbassyKG,USEmbassyKG,US Embassy Bishkek,twitter.com/USEmbassyKG,Bishkek,Kyrgyzstan,sca,embassy
PamelaSpratlen,PamelaSpratlen,Pamela Spratlen,twitter.com/PamelaSpratlen,Bishkek,Kyrgyzstan,sca,embassy
USEmbassyRiga,USEmbassyRiga,US Embassy Riga,twitter.com/USEmbassyRiga,Riga,Latvia,eur,embassy
AmbMarkPekala,AmbMarkPekala,Mark Pekala,twitter.com/AmbMarkPekala,Riga,Latvia,eur,other
usembassybeirut,usembassybeirut,U.S. Embassy Beirut,twitter.com/usembassybeirut,Beirut,Lebanon,nea,embassy
embassymonrovia,embassymonrovia,US Embassy Monrovia,twitter.com/embassymonrovia,Monrovia,Liberia,af,embassy
USAEmbassyLibya,USAEmbassyLibya,U.S. Embassy - Libya,twitter.com/USAEmbassyLibya,Tripoli,Libya,nea,embassy
SafiraDeborah,SafiraDeborah,Safira Deborah,twitter.com/SafiraDeborah,Tripoli,Libya,nea,personal
AMB_DMcCarthy,AMB_DMcCarthy,Deborah McCarthy,twitter.com/AMB_DMcCarthy,Vilnius,Lithuania,eur,personal
USEmbVilnius,USEmbVilnius,U.S. Embassy Vilnius,twitter.com/USEmbVilnius,Vilnius,Lithuania,eur,embassy
USEmbLuxembourg,USEmbLuxembourg,US Embassy Luxembourg,twitter.com/USEmbLuxembourg,Luxembourg,Luxembourg,eur,embassy
USAIDMacedonia,USAIDMacedonia,USAID Macedonia,twitter.com/USAIDMacedonia,Skopje,Macedonia,eur,usaid-mission
USMadagascar,USMadagascar,US Embassy Antananarivo,twitter.com/USMadagascar,Antananarivo,Madagascar,af,embassy
USAIDMadagascar,USAIDMadagascar,USAID Madagascar,twitter.com/USAIDMadagascar,Antanarivo,Madagascar,af,usaid-mission
AmbassadorJones,AmbassadorJones,Ambassador Paul W. Jones,twitter.com/AmbassadorJones,Kuala Lumpur,Malaysia,eap,personal
usembassykl,usembassykl,US Embassy KL,twitter.com/usembassykl,Kuala Lumpur,Malaysia,eap,embassy
USEmbassyMali,USEmbassyMali,AmEmb Bamako,twitter.com/USEmbassyMali,Bamako,Mali,af,embassy
USAIDMali,USAIDMali,USAID Mali,twitter.com/USAIDMali,Bamako,Mali,af,usaid-mission
usembmalta,usembmalta,U.S. Embassy Malta,twitter.com/usembmalta,Valleta,Malta,eur,embassy
USEmbassyMEX,USEmbassyMEX,US Embassy Mexico City,twitter.com/USEmbassyMEX,Mexico City,Mexico,wha,embassy
comunidadfront,comunidadfront,Comunidad Fronteriza,twitter.com/comunidadfront,Juarez,Mexico,wha,consulate
USCGGuadalajara,USCGGuadalajara,USCG Guadalajara,twitter.com/USCGGuadalajara,Guadalajara,Mexico,wha,consulate
USCGMatamoros,USCGMatamoros,US ConGen Matamoros,twitter.com/USCGMatamoros,Matamoros,Mexico,wha,consulate
ConsuladoUSATJ,ConsuladoUSATJ,US Consulate Tijuana,twitter.com/ConsuladoUSATJ,Tijuana,Mexico,wha,consulate
ConsuladoUSAMty,ConsuladoUSAMty,USCG Monterrey,twitter.com/ConsuladoUSAMty,Monterrey,Mexico,wha,consulate
USAConNVL,USAConNVL,US Cons Nuevo Laredo,twitter.com/USAConNVL,Nuevo Laredo,Mexico,wha,consulate
USCGNogales,USCGNogales,U.S. ConGen Nogales,twitter.com/USCGNogales,Nogales,Mexico,wha,consulate
USConsuladoHer,USConsuladoHer,US ConGen Hermosillo,twitter.com/USConsuladoHer,Hermosillo,Mexico,wha,consulate
ConsuladoUSAMer,ConsuladoUSAMer,Consulado EU Merida,twitter.com/ConsuladoUSAMer,Merida,Mexico,wha,consulate
USembMoldova,USembMoldova,U.S. Embassy Moldova,twitter.com/USembMoldova,Chisinau,Moldova,eur,embassy
usembmongolia,usembmongolia,U.S.Embassy in Ulaanbaatar,twitter.com/usembmongolia,Ulaanbaatar,Mongolia,eap,embassy
USEmbassyMNE,USEmbassyMNE,US Embassy Podgorica,twitter.com/USEmbassyMNE,Podgorica,Montenegro,eur,embassy
usaidmorocco,usaidmorocco,USAID Morocco,twitter.com/usaidmorocco,Rabat,Morocco,nea,usaid-mission
